,Power
329.2,-102.29
329.4,-98.81
329.6,-104.15
329.8,-114.78
330.0,-94.49
330.2,-91.92
330.4,-90.76
330.6,-91.04
330.8,-92.17
331.0,-91.92
331.2,-94.42
331.4,-98.15
331.6,-92.34
331.8,-93.67
332.0,-97.87
332.2,-110.39
332.4,-108.38
332.6,-102.11
332.8,-94.97
333.0,-91.3
333.2,-99.17
333.4,-102.3
333.6,-96.33
333.8,-91.25
334.0,-95.51
334.2,-97.44
334.4,-102.17
334.6,-101.87
334.8,-101.28
335.0,-106.23
335.2,-104.38
335.4,-103.37
335.6,-85.52
335.8,-84.64
336.0,-86.16
336.2,-90.32
336.4,-94.7
336.6,-94.06
336.8,-95.23
337.0,-99.6
337.2,-98.34
337.4,-96.6
337.6,-94.61
337.8,-104.36
338.0,-94.63
338.2,-94.13
338.4,-97.51
338.6,-95.54
338.8,-93.92
339.0,-102.05
339.2,-97.42
339.4,-92.3
339.6,-87.95
339.8,-94.62
340.0,-98.49
340.2,-89.72
340.4,-94.48
340.6,-95.84
340.8,-99.45
341.0,-95.13
341.2,-91.06
341.4,-89.27
341.6,-89.95
341.8,-92.57
342.0,-116.68
342.2,-103.9
342.4,-106.88
342.6,-124.86
342.8,-100.03
343.0,-95.34
343.2,-97.38
343.4,-95.3
343.6,-93.53
343.8,-91.9
344.0,-89.51
344.2,-90.06
344.4,-87.9
344.6,-91.24
344.8,-96.65
345.0,-100.47
345.2,-102.67
345.4,-99.77
345.6,-99.62
345.8,-101.37
346.0,-101.19
346.2,-99.13
346.4,-104.84
346.6,-94.5
346.8,-97.13
347.0,-98.18
347.2,-97.76
347.4,-95.32
347.6,-91.19
347.8,-86.09
348.0,-84.41
348.2,-85.44
348.4,-95.36
348.6,-93.07
348.8,-90.15
349.0,-88.49
349.2,-110.28
349.4,-103.67
349.6,-98.78
349.8,-101.45
350.0,-88.32
350.2,-89.38
350.4,-88.08
350.6,-86.18
350.8,-100.96
351.0,-98.43
351.2,-99.12
351.4,-103.05
351.6,-91.04
351.8,-90.99
352.0,-94.21
352.2,-93.96
352.4,-91.96
352.6,-94.21
352.8,-98.53
353.0,-110.43
353.2,-94.92
353.4,-91.46
353.6,-91.54
353.8,-91.75
354.0,-99.1
354.2,-99.06
354.4,-101.01
354.6,-108.38
354.8,-93.96
355.0,-93.02
355.2,-92.19
355.4,-93.36
355.6,-98.81
355.8,-97.25
356.0,-94.17
356.2,-93.03
356.4,-89.91
356.6,-87.95
356.8,-89.51
357.0,-91.99
357.2,-106.38
357.4,-106.96
357.6,-104.75
357.8,-103.22
358.0,-94.22
358.2,-96.99
358.4,-107.76
358.6,-99.43
358.8,-95.64
359.0,-101.88
359.2,-97.01
359.4,-97.88
359.6,-86.46
359.8,-79.25
360.0,-77.06
360.2,-79.85
360.4,-97.16
